Jurisdiction,Year,Fuel,Unit,Quantity
WA,2010,Renewables,PJ,15.274
WA,2010,Statistical Discrepancy,PJ,-1.965
WA,2010,Total,PJ,980.289
WA,2011,Coal,PJ,124.969
WA,2011,Gas,PJ,503.352
WA,2011,Oil,PJ,339.507
WA,2011,Renewables,PJ,17.044
WA,2011,Statistical Discrepancy,PJ,-2.709
WA,2011,Total,PJ,982.163
WA,2012,Coal,PJ,129.807
WA,2012,Gas,PJ,515.484
WA,2012,Oil,PJ,357.523
WA,2012,Renewables,PJ,18.843
WA,2012,Statistical Discrepancy,PJ,-2.203
WA,2012,Total,PJ,1019.454
WA,2013,Coal,PJ,136.09
WA,2013,Gas,PJ,536.073
WA,2013,Oil,PJ,373.476
WA,2013,Renewables,PJ,20.925
WA,2013,Statistical Discrepancy,PJ,0
WA,2013,Total,PJ,1066.564
WA,2014,Coal,PJ,127.613
WA,2014,Gas,PJ,539.857
WA,2014,Oil,PJ,355.581
WA,2014,Renewables,PJ,22.292
WA,2014,Statistical Discrepancy,PJ,-0.006
WA,2014,Total,PJ,1045.337
WA,2015,Coal,PJ,136.413
WA,2015,Gas,PJ,561.91
WA,2015,Oil,PJ,403.691
WA,2015,Renewables,PJ,21.894
WA,2015,Statistical Discrepancy,PJ,-0.006
WA,2015,Total,PJ,1123.903
WA,2016,Coal,PJ,145.855
WA,2016,Gas,PJ,594.861
WA,2016,Oil,PJ,411.384
WA,2016,Renewables,PJ,24.751
WA,2016,Statistical Discrepancy,PJ,-0.091
WA,2016,Total,PJ,1176.761
WA,2017,Coal,PJ,136.243
WA,2017,Gas,PJ,643.291
WA,2017,Oil,PJ,405.221
WA,2017,Renewables,PJ,24.999
WA,2017,Statistical Discrepancy,PJ,-0.098
WA,2017,Total,PJ,1209.656
WA,2018,Coal,PJ,126.785
WA,2018,Gas,PJ,667.756
WA,2018,Oil,PJ,439.361
WA,2018,Renewables,PJ,27.289
WA,2018,Statistical Discrepancy,PJ,0
WA,2018,Total,PJ,1261.191
WA,2019,Coal,PJ,119.508
WA,2019,Gas,PJ,692.598
WA,2019,Oil,PJ,423.775
WA,2019,Renewables,PJ,29.054
WA,2019,Statistical Discrepancy,PJ,0
WA,2019,Total,PJ,1264.935
WA,2020,Coal,PJ,114.323
WA,2020,Gas,PJ,670.147
WA,2020,Oil,PJ,418.539
WA,2020,Renewables,PJ,35.936
WA,2020,Statistical Discrepancy,PJ,0
WA,2020,Total,PJ,1238.945
WA,2021,Coal,PJ,121.076
WA,2021,Gas,PJ,673.08
WA,2021,Oil,PJ,422.626
WA,2021,Renewables,PJ,41.101
WA,2021,Statistical Discrepancy,PJ,0
WA,2021,Total,PJ,1257.883
WA,2022,Coal,PJ,99.449
WA,2022,Gas,PJ,704.829
WA,2022,Oil,PJ,447.131
WA,2022,Renewables,PJ,42.218
WA,2022,Statistical Discrepancy,PJ,0
WA,2022,Total,PJ,1293.628
