Jurisdiction,Year,Industry,Unit,Quantity
AUS,2013,Mining,PJ,529.486
AUS,2013,Other,PJ,65.313
AUS,2013,Residential,PJ,435.059
AUS,2013,Transport,PJ,1592.195
AUS,2013,Water and waste,PJ,14.464
AUS,2014,Agriculture,PJ,104.54
AUS,2014,Commercial and services,PJ,319.761
AUS,2014,Construction,PJ,36.596
AUS,2014,Electricity generation,PJ,1650.436
AUS,2014,Manufacturing,PJ,1126.112
AUS,2014,Mining,PJ,521.228
AUS,2014,Other,PJ,58.523
AUS,2014,Residential,PJ,443.752
AUS,2014,Transport,PJ,1623.255
AUS,2014,Water and waste,PJ,14.214
AUS,2015,Agriculture,PJ,109.756
AUS,2015,Commercial and services,PJ,314.066
AUS,2015,Construction,PJ,39.305
AUS,2015,Electricity generation,PJ,1697.748
AUS,2015,Manufacturing,PJ,1122.94
AUS,2015,Mining,PJ,575.617
AUS,2015,Other,PJ,61.836
AUS,2015,Residential,PJ,444.272
AUS,2015,Transport,PJ,1654.861
AUS,2015,Water and waste,PJ,14.471
AUS,2016,Agriculture,PJ,116.296
AUS,2016,Commercial and services,PJ,314.578
AUS,2016,Construction,PJ,39.885
AUS,2016,Electricity generation,PJ,1662.634
AUS,2016,Manufacturing,PJ,1092.644
AUS,2016,Mining,PJ,666.337
AUS,2016,Other,PJ,54.139
AUS,2016,Residential,PJ,453.634
AUS,2016,Transport,PJ,1690.063
AUS,2016,Water and waste,PJ,14.441
AUS,2017,Agriculture,PJ,117.57
AUS,2017,Commercial and services,PJ,319.22
AUS,2017,Construction,PJ,43.419
AUS,2017,Electricity generation,PJ,1601.68
AUS,2017,Manufacturing,PJ,1101.804
AUS,2017,Mining,PJ,729.741
AUS,2017,Other,PJ,56.415
AUS,2017,Residential,PJ,449.002
AUS,2017,Transport,PJ,1734.086
AUS,2017,Water and waste,PJ,15.155
AUS,2018,Agriculture,PJ,98.842
AUS,2018,Commercial and services,PJ,310.714
AUS,2018,Construction,PJ,42.834
AUS,2018,Electricity generation,PJ,1566.394
AUS,2018,Manufacturing,PJ,1080.952
AUS,2018,Mining,PJ,812.435
AUS,2018,Other,PJ,56.037
AUS,2018,Residential,PJ,457.002
AUS,2018,Transport,PJ,1746.578
AUS,2018,Water and waste,PJ,16.493
AUS,2019,Agriculture,PJ,87.993
AUS,2019,Commercial and services,PJ,298.007
AUS,2019,Construction,PJ,40.433
AUS,2019,Electricity generation,PJ,1523.152
AUS,2019,Manufacturing,PJ,1054.984
AUS,2019,Mining,PJ,853.565
AUS,2019,Other,PJ,58.399
AUS,2019,Residential,PJ,474.474
AUS,2019,Transport,PJ,1589.945
AUS,2019,Water and waste,PJ,20.096
AUS,2020,Agriculture,PJ,118.707
AUS,2020,Commercial and services,PJ,288.077
AUS,2020,Construction,PJ,38.793
AUS,2020,Electricity generation,PJ,1454.983
AUS,2020,Manufacturing,PJ,1042.927
AUS,2020,Mining,PJ,850.351
AUS,2020,Other,PJ,54.051
AUS,2020,Residential,PJ,484.126
AUS,2020,Transport,PJ,1418.279
AUS,2020,Water and waste,PJ,18.925
AUS,2021,Agriculture,PJ,114.588
AUS,2021,Commercial and services,PJ,296.092
AUS,2021,Construction,PJ,37.212
AUS,2021,Electricity generation,PJ,1405.902
AUS,2021,Manufacturing,PJ,1028.856
AUS,2021,Mining,PJ,865.893
AUS,2021,Other,PJ,53.586
AUS,2021,Residential,PJ,497.336
AUS,2021,Transport,PJ,1447.826
AUS,2021,Water and waste,PJ,17.845
AUS,2022,Agriculture,PJ,105.859
AUS,2022,Commercial and services,PJ,308.112
AUS,2022,Construction,PJ,36.64
AUS,2022,Electricity generation,PJ,1378.274
AUS,2022,Manufacturing,PJ,996.298
AUS,2022,Mining,PJ,883.072
AUS,2022,Other,PJ,50.975
AUS,2022,Residential,PJ,484.169
AUS,2022,Transport,PJ,1622.125
AUS,2022,Water and waste,PJ,16.682
NSW,2000,Agriculture,PJ,29.0
NSW,2000,Commercial and services,PJ,60.3
NSW,2000,Construction,PJ,5.1
NSW,2000,Electricity generation,PJ,426.2
NSW,2000,Manufacturing,PJ,345.8
NSW,2000,Mining,PJ,23.3
NSW,2000,Other,PJ,20.6
NSW,2000,Residential,PJ,123.7
NSW,2000,Transport,PJ,412.4
NSW,2000,Water and waste,PJ,4.1
NSW,2001,Agriculture,PJ,29.6
NSW,2001,Commercial and services,PJ,62.6
NSW,2001,Construction,PJ,5.2
NSW,2001,Electricity generation,PJ,429.9
NSW,2001,Manufacturing,PJ,355.4
NSW,2001,Mining,PJ,24.6
NSW,2001,Other,PJ,20.6
NSW,2001,Residential,PJ,112.6
NSW,2001,Transport,PJ,401.0
NSW,2001,Water and waste,PJ,4.2
NSW,2002,Agriculture,PJ,30.669
NSW,2002,Commercial and services,PJ,72.489
NSW,2002,Construction,PJ,5.02
NSW,2002,Electricity generation,PJ,442.473
NSW,2002,Manufacturing,PJ,364.138
NSW,2002,Mining,PJ,27.158
NSW,2002,Other,PJ,19.02
NSW,2002,Residential,PJ,126.204
NSW,2002,Transport,PJ,418.491
NSW,2002,Water and waste,PJ,4.813
NSW,2003,Agriculture,PJ,29.827
NSW,2003,Commercial and services,PJ,74.04
NSW,2003,Construction,PJ,4.057
NSW,2003,Electricity generation,PJ,463.169
NSW,2003,Manufacturing,PJ,380.225
NSW,2003,Mining,PJ,33.036
NSW,2003,Other,PJ,20.134
NSW,2003,Residential,PJ,126.686
NSW,2003,Transport,PJ,438.463
NSW,2003,Water and waste,PJ,5.155
NSW,2004,Agriculture,PJ,29.414
NSW,2004,Commercial and services,PJ,73.814
NSW,2004,Construction,PJ,3.56
NSW,2004,Electricity generation,PJ,457.028
NSW,2004,Manufacturing,PJ,344.658
NSW,2004,Mining,PJ,35.992
NSW,2004,Other,PJ,20.233
NSW,2004,Residential,PJ,124.153
NSW,2004,Transport,PJ,450.772
NSW,2004,Water and waste,PJ,5.292
NSW,2005,Agriculture,PJ,29.597
NSW,2005,Commercial and services,PJ,74.655
NSW,2005,Construction,PJ,4.833
NSW,2005,Electricity generation,PJ,462.446
NSW,2005,Manufacturing,PJ,331.038
NSW,2005,Mining,PJ,34.76
NSW,2005,Other,PJ,21.109
NSW,2005,Residential,PJ,125.337
NSW,2005,Transport,PJ,456.464
NSW,2005,Water and waste,PJ,5.745
NSW,2006,Agriculture,PJ,29.202
NSW,2006,Commercial and services,PJ,77.567
NSW,2006,Construction,PJ,4.838
NSW,2006,Electricity generation,PJ,449.91
NSW,2006,Manufacturing,PJ,350.965
NSW,2006,Mining,PJ,35.158
NSW,2006,Other,PJ,16.625
NSW,2006,Residential,PJ,126.848
NSW,2006,Transport,PJ,471.775
NSW,2006,Water and waste,PJ,6.007
NSW,2007,Agriculture,PJ,28.885
NSW,2007,Commercial and services,PJ,76.313
NSW,2007,Construction,PJ,4.835
NSW,2007,Electricity generation,PJ,509.939
NSW,2007,Manufacturing,PJ,322.451
NSW,2007,Mining,PJ,35.274
NSW,2007,Other,PJ,16.319
NSW,2007,Residential,PJ,127.573
NSW,2007,Transport,PJ,483.191
NSW,2007,Water and waste,PJ,5.929
NSW,2008,Agriculture,PJ,28.353
NSW,2008,Commercial and services,PJ,76.698
NSW,2008,Construction,PJ,7.834
NSW,2008,Electricity generation,PJ,503.95
NSW,2008,Manufacturing,PJ,308.107
NSW,2008,Mining,PJ,35.478
NSW,2008,Other,PJ,17.72
NSW,2008,Residential,PJ,130.761
NSW,2008,Transport,PJ,479.187
NSW,2008,Water and waste,PJ,5.451
NSW,2009,Agriculture,PJ,28.57
NSW,2009,Commercial and services,PJ,79.238
NSW,2009,Construction,PJ,9.039
NSW,2009,Electricity generation,PJ,468.725
NSW,2009,Manufacturing,PJ,362.388
NSW,2009,Mining,PJ,41.747
NSW,2009,Other,PJ,18.116
NSW,2009,Residential,PJ,134.038
NSW,2009,Transport,PJ,498.474
NSW,2009,Water and waste,PJ,4.954
NSW,2010,Agriculture,PJ,28.849
NSW,2010,Commercial and services,PJ,82.032
NSW,2010,Construction,PJ,8.708
NSW,2010,Electricity generation,PJ,438.241
NSW,2010,Manufacturing,PJ,400.898
NSW,2010,Mining,PJ,46.269
NSW,2010,Other,PJ,16.567
NSW,2010,Residential,PJ,136.988
NSW,2010,Transport,PJ,504.886
NSW,2010,Water and waste,PJ,4.587
NSW,2011,Agriculture,PJ,29.391
NSW,2011,Commercial and services,PJ,80.25
NSW,2011,Construction,PJ,7.96
NSW,2011,Electricity generation,PJ,434.85
NSW,2011,Manufacturing,PJ,355.72
NSW,2011,Mining,PJ,52.835
NSW,2011,Other,PJ,13.622
NSW,2011,Residential,PJ,135.519
NSW,2011,Transport,PJ,506.64
NSW,2011,Water and waste,PJ,4.517
NSW,2012,Agriculture,PJ,29.165
NSW,2012,Commercial and services,PJ,83.385
NSW,2012,Construction,PJ,8.592
NSW,2012,Electricity generation,PJ,407.13
NSW,2012,Manufacturing,PJ,309.681
NSW,2012,Mining,PJ,58.551
NSW,2012,Other,PJ,20.184
